decision_date,rate_change,decision,sentiment_date,sentiment,sentiment_dict,days_difference
1996-11-13,0.0,No Change,1996-10-30,0.0288812071084976,"{'positive': 0.1624157875776291, 'negative': 0.13353458046913147, 'neutral': 0.7040496468544006}",14
1996-12-17,0.0,No Change,1996-12-04,-0.5883978083729744,"{'positive': 0.07799529284238815, 'negative': 0.6663931012153625, 'neutral': 0.2556116282939911}",13
1997-02-05,0.0,No Change,1997-01-22,0.1236632242798805,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}",14
1997-03-25,0.25,Increase,1997-03-12,-0.7284629829227924,"{'positive': 0.02856595441699028, 'negative': 0.7570289373397827, 'neutral': 0.2144051194190979}",13
1997-05-20,0.0,No Change,1997-05-07,-0.0356296747922897,"{'positive': 0.16252721846103668, 'negative': 0.19815689325332642, 'neutral': 0.6393158435821533}",13
1997-07-02,0.0,No Change,1997-06-18,-0.4426548555493355,"{'positive': 0.07242070883512497, 'negative': 0.5150755643844604, 'neutral': 0.41250374913215637}",14
1997-08-19,0.0,No Change,1997-08-06,-0.1640978455543518,"{'positive': 0.16622978448867798, 'negative': 0.3303276300430298, 'neutral': 0.5034425258636475}",13
1997-09-30,0.0,No Change,1997-09-17,-0.0373666509985923,"{'positive': 0.10658543556928635, 'negative': 0.14395208656787872, 'neutral': 0.7494624257087708}",13
1997-11-12,0.0,No Change,1997-10-29,0.1236632242798805,"{'positive': 0.17666494846343994, 'negative': 0.05300172418355942, 'neutral': 0.7703333497047424}",14
1997-12-16,0.0,No Change,1997-12-03,-0.3234657943248749,"{'positive': 0.09191548824310303, 'negative': 0.4153812825679779, 'neutral': 0.49270325899124146}",13
1998-02-04,0.0,No Change,1998-01-21,-0.3215555027127266,"{'positive': 0.1152997836470604, 'negative': 0.436855286359787, 'neutral': 0.4478450119495392}",14
1998-03-31,0.0,No Change,1998-03-18,-0.0263250917196273,"{'positive': 0.14711374044418335, 'negative': 0.17343883216381073, 'neutral': 0.6794474720954895}",13
1998-05-19,0.0,No Change,1998-05-06,0.0329627394676208,"{'positive': 0.30454903841018677, 'negative': 0.2715862989425659, 'neutral': 0.4238646626472473}",13
1998-07-01,0.0,No Change,1998-06-17,0.0897528380155563,"{'positive': 0.15475662052631378, 'negative': 0.06500378251075745, 'neutral': 0.7802395820617676}",14
1998-08-18,0.0,No Change,1998-08-05,0.0647138953208923,"{'positive': 0.1910056322813034, 'negative': 0.12629173696041107, 'neutral': 0.6827026605606079}",13
1998-09-29,-0.25,Decrease,1998-09-16,-0.3067407310009002,"{'positive': 0.117715984582901, 'negative': 0.42445671558380127, 'neutral': 0.4578273296356201}",13
1998-10-15,-0.25,Decrease,1998-09-16,-0.3067407310009002,"{'positive': 0.117715984582901, 'negative': 0.42445671558380127, 'neutral': 0.4578273296356201}",29
1998-11-17,-0.25,Decrease,1998-11-04,-0.0224768817424774,"{'positive': 0.12981553375720978, 'negative': 0.1522924154996872, 'neutral': 0.7178921103477478}",13
1999-02-03,0.0,No Change,1999-01-20,-0.0941893011331558,"{'positive': 0.07621769607067108, 'negative': 0.1704069972038269, 'neutral': 0.7533752918243408}",14
1999-03-30,0.0,No Change,1999-03-17,0.114502802491188,"{'positive': 0.2964669167995453, 'negative': 0.18196411430835724, 'neutral': 0.521569013595581}",13
1999-05-18,0.0,No Change,1999-05-05,-0.0075282603502273,"{'positive': 0.19071190059185028, 'negative': 0.19824016094207764, 'neutral': 0.6110479235649109}",13
1999-06-30,0.25,Increase,1999-06-16,0.051998920738697,"{'positive': 0.1452351063489914, 'negative': 0.09323618561029434, 'neutral': 0.7615287899971008}",14
1999-08-24,0.25,Increase,1999-08-11,-0.0683348774909973,"{'positive': 0.09946353733539581, 'negative': 0.16779841482639313, 'neutral': 0.7327380776405334}",13
1999-11-16,0.25,Increase,1999-11-03,-0.4308851510286331,"{'positive': 0.05771125853061676, 'negative': 0.4885964095592499, 'neutral': 0.45369237661361694}",13
2000-02-02,0.25,Increase,2000-01-19,-0.0448518469929695,"{'positive': 0.11562217026948929, 'negative': 0.1604740172624588, 'neutral': 0.7239038348197937}",14
2000-03-21,0.25,Increase,2000-03-08,0.009996548295021,"{'positive': 0.0961153656244278, 'negative': 0.08611881732940674, 'neutral': 0.8177657723426819}",13
2000-05-16,0.5,Increase,2000-05-03,0.0924985185265541,"{'positive': 0.17901264131069183, 'negative': 0.08651412278413773, 'neutral': 0.7344732284545898}",13
2000-06-28,0.0,No Change,2000-06-14,-0.2193690091371536,"{'positive': 0.08509434759616852, 'negative': 0.30446335673332214, 'neutral': 0.6104423403739929}",14
2000-08-22,0.0,No Change,2000-08-09,-0.3745629340410232,"{'positive': 0.13055752217769623, 'negative': 0.5051204562187195, 'neutral': 0.3643220365047455}",13
2000-10-03,0.0,No Change,2000-09-20,0.087168350815773,"{'positive': 0.23766905069351196, 'negative': 0.15050069987773895, 'neutral': 0.6118302941322327}",13
